"","Commune ou ARM","Libellé commune ou ARM","Population en 2015 (princ)"
"174","01157","Fareins","2192"
"175","01158","Farges","999"
"176","01159","Feillens","3249"
"177","01160","Ferney-Voltaire","3358.46"
"178","01160","Ferney-Voltaire","2658.12"
"179","01160","Ferney-Voltaire","3465.42"
"180","01162","Flaxieu","67.00"
"181","01163","Foissiat","2052"
"182","01165","Francheleins","1548"
"183","01166","Frans","2265"
"184","01167","Garnerans","662"
"185","01169","Genouilleux","590"
"186","01170","Béard-Géovreissiat","1026"
"187","01171","Géovreisset","909"
"188","01173","Gex","3366.48"
"189","01173","Gex","4750.83"
"190","01173","Gex","3569.69"
"191","01174","Giron","179"
"192","01175","Gorrevod","854.00"
"193","01177","Grand-Corent","177"
"194","01179","Grièges","1891"
"195","01180","Grilly","792"
"196","01181","Groissiat","1213"
"197","01183","Guéreins","1429"
"198","01184","Hautecourt-Romanèche","792"
"199","01185","Hauteville-Lompnes","3739.00"
"200","01186","Hostiaz","87.00"
"201","01187","Haut Valromey","693"
"202","01188","Illiat","610"
"203","01189","Injoux-Génissiat","1144"
"204","01190","Innimond","106"
"205","01191","Izenave","168"
"206","01192","Izernore","2275.00"
"207","01193","Izieu","239.00"
"208","01194","Jassans-Riottier","4056"
"209","01194","Jassans-Riottier","2134"
"210","01195","Jasseron","1735"
"211","01196","Jayat","1145"
"212","01197","Journans","355"
"213","01198","Joyeux","278"
"214","01199","Jujurieux","2191"
"215","01200","Labalme","214"
"216","01202","Lagnieu","3099.63"
"217","01202","Lagnieu","3922.37"
"218","01203","Laiz","1202"
"219","01204","Le Poizat-Lalleyriat","703"
"220","01205","Lancrans","1046"
"221","01206","Lantenay","267"
"222","01207","Lapeyrouse","332.00"
"223","01208","Lavours","129"
"224","01209","Léaz","700.00"
"225","01210","Lélex","227"
"226","01211","Lent","1427"
"227","01212","Lescheroux","721"
"228","01213","Leyment","1267"
"229","01214","Leyssard","154"
"230","01215","Lhôpital","47"
"231","01216","Lhuis","887"
"232","01218","Lochieu","93.00"
"233","01219","Lompnas","167"
"234","01221","Lompnieu","113"
"235","01224","Loyettes","3145"
"236","01225","Lurcy","387.00"
"237","01227","Magnieu","473"
"238","01228","Maillat","633"
"239","01229","Malafretaz","1169"
"240","01230","Mantenay-Montlin","308"
"241","01231","Manziat","1988"
"242","01232","Marboz","2215"
"243","01233","Marchamp","130"
"244","01234","Marignieu","173"
"245","01235","Marlieux","1070"
"246","01236","Marsonnas","989.00"
"247","01237","Martignat","1600"
"248","01238","Massieux","2516"
"249","01239","Massignieu-de-Rives","624.00"
"250","01240","Matafelon-Granges","647.00"
"251","01241","Meillonnas","1316"
"252","01242","Mérignat","121"
"253","01243","Messimy-sur-Saône","1218"
"254","01244","Meximieux","2804"
"255","01244","Meximieux","2373"
"256","01244","Meximieux","2478"
"257","01245","Bohas-Meyriat-Rignat","878.00"
"258","01246","Mézériat","2135.00"
"259","01247","Mijoux","336"
"260","01248","Mionnay","2138"
"261","01249","Miribel","2518"
"262","01249","Miribel","4063"
"263","01249","Miribel","2993"
"264","01250","Misérieux","1908"
"265","01252","Mogneneins","773"
"266","01254","Montagnat","1921"
"267","01255","Montagnieu","598.00"
"268","01257","Montanges","344.00"
"269","01258","Montceaux","1197"
"270","01259","Montcet","667"
"271","01260","Le Montellier","287"
"272","01261","Monthieux","651.00"
"273","01262","Montluel","3440.67"
"274","01262","Montluel","3591.33"
"275","01263","Montmerle-sur-Saône","3794"
"276","01264","Montracol","1021"
"277","01265","Montréal-la-Cluse","3409"
"278","01266","Montrevel-en-Bresse","2439"
"279","01267","Nurieux-Volognat","1028"
"280","01268","Murs-et-Gélignieux","256"
"281","01269","Nantua","3525.00"
"282","01272","Neuville-les-Dames","1500"
"283","01273","Neuville-sur-Ain","1693"
"284","01274","Les Neyrolles","635.00"
"285","01275","Neyron","2487"
"286","01276","Niévroz","1535"
"287","01277","Nivollet-Montgriffon","118"
"288","01279","Oncieu","99.00"
"289","01280","Ordonnaz","152"
"290","01281","Ornex","4390.00"
"291","01282","Outriaz","265.00"
"292","01283","Oyonnax","2089.61"
"293","01283","Oyonnax","2857.01"
"294","01283","Oyonnax","2403.42"
"295","01283","Oyonnax","2470.46"
"296","01283","Oyonnax","2145.02"
"297","01283","Oyonnax","1939.90"
"298","01283","Oyonnax","2576.72"
"299","01283","Oyonnax","15.39"
"300","01283","Oyonnax","2281.12"
"301","01283","Oyonnax","2029.96"
"302","01283","Oyonnax","1457.17"
"303","01283","Oyonnax","126.24"
"304","01284","Ozan","668"
"305","01285","Parcieux","1171"
"306","01286","Parves et Nattages","938.00"
"307","01288","Péron","2537"
"308","01289","Péronnas","2763.84"
"309","01289","Péronnas","3477.16"
"310","01290","Pérouges","1205"
"311","01291","Perrex","810"
"312","01293","Peyriat","171"
"313","01294","Peyrieu","850"
"314","01295","Peyzieux-sur-Saône","651"
"315","01296","Pirajoux","393.00"
"316","01297","Pizay","794.00"
"317","01298","Plagne","124"
"318","01299","Le Plantay","541"
"319","01301","Polliat","2496"
"320","01302","Pollieu","159"
"321","01303","Poncin","1688"
"322","01304","Pont-d'Ain","2867"
"323","01305","Pont-de-Vaux","2296"
"324","01306","Pont-de-Veyle","1592"
"325","01307","Port","851.00"
"326","01308","Pougny","817"
"327","01309","Pouillat","91.00"
"328","01310","Prémeyzel","238"
"329","01311","Prémillieu","47.00"
"330","01313","Prévessin-Moëns","7860"
"331","01314","Priay","1685"
"332","01317","Ramasse","312"
"333","01318","Rancé","712.00"
"334","01319","Relevant","464"
"335","01320","Replonges","3673"
"336","01321","Revonnas","938.00"
"337","01322","Reyrieux","4544.00"
"338","01323","Reyssouze","970"
"339","01325","Rignieux-le-Franc","972"
"340","01328","Romans","597.00"
"341","01329","Rossillon","150"
"342","01330","Ruffieu","182"
"343","01331","Saint-Alban","175"
"344","01332","Saint-André-de-Bâgé","748"
"345","01333","Saint-André-de-Corcy","3129"
"346","01334","Saint-André-d'Huiriat","579"
"347","01335","Saint-André-le-Bouchoux","382"
"348","01336","Saint-André-sur-Vieux-Jonc","1128"
"349","01337","Saint-Bénigne","1242"
"350","01338","Groslée-Saint-Benoit","1193"
"351","01339","Saint-Bernard","1436"
