"","Commune ou ARM","Libellé commune ou ARM","Population en 2015 (princ)"
"13365","2A262","Rosazia","52"
"13366","2A266","Salice","90.00"
"13367","2A268","Sampolo","66"
"13368","2A269","Sari-Solenzara","1366"
"13369","2A270","Sari-d'Orcino","335"
"13370","2A271","Sarrola-Carcopino","2588"
"13371","2A272","Sartène","3308"
"13372","2A276","Serra-di-Ferro","483.00"
"13373","2A278","Serra-di-Scopamène","101"
"13374","2A279","Serriera","123"
"13375","2A282","Soccia","148.00"
"13376","2A284","Sollacaro","352"
"13377","2A285","Sorbollano","73"
"13378","2A288","Sotta","1290"
"13379","2A295","Sant'Andréa-d'Orcino","97"
"13380","2A300","San-Gavino-di-Carbini","1101"
"13381","2A308","Sainte-Lucie-de-Tallano","444.00"
"13382","2A310","Santa-Maria-Figaniella","86"
"13383","2A312","Santa-Maria-Siché","440"
"13384","2A322","Tasso","107"
"13385","2A323","Tavaco","345.00"
"13386","2A324","Tavera","398"
"13387","2A326","Tolla","121"
"13388","2A330","Ucciani","483"
"13389","2A331","Urbalacone","69"
"13390","2A336","Valle-di-Mezzana","384.00"
"13391","2A345","Vero","539"
"13392","2A348","Vico","907"
"13393","2A349","Viggianello","725"
"13394","2A351","Villanova","358"
"13395","2A357","Zérubia","38.00"
"13396","2A358","Zévaco","59"
"13397","2A359","Zicavo","228"
"13398","2A360","Zigliara","130"
"13399","2A362","Zonza","2675"
"13400","2A363","Zoza","53"
"13401","2B002","Aghione","236.00"
"13402","2B003","Aiti","33"
"13403","2B005","Alando","38.00"
"13404","2B007","Albertacce","202"
"13405","2B009","Aléria","2249.00"
"13406","2B010","Algajola","339"
"13407","2B012","Altiani","51.00"
"13408","2B013","Alzi","25"
"13409","2B015","Ampriani","20"
"13410","2B016","Antisanti","468"
"13411","2B020","Aregno","600"
"13412","2B023","Asco","121"
"13413","2B025","Avapessa","85.00"
"13414","2B029","Barbaggio","277"
"13415","2B030","Barrettali","131"
"13416","2B033","Bastia","2305.91"
"13417","2B033","Bastia","3167.19"
"13418","2B033","Bastia","5268.06"
"13419","2B033","Bastia","2218.95"
"13420","2B033","Bastia","1731.80"
"13421","2B033","Bastia","2781.21"
"13422","2B033","Bastia","1931.07"
"13423","2B033","Bastia","3991.28"
"13424","2B033","Bastia","3074.62"
"13425","2B033","Bastia","3201.31"
"13426","2B033","Bastia","3327.64"
"13427","2B033","Bastia","2758.05"
"13428","2B033","Bastia","2173.95"
"13429","2B033","Bastia","3650.75"
"13430","2B033","Bastia","2773.23"
"13431","2B034","Belgodère","555.00"
"13432","2B036","Bigorno","83"
"13433","2B037","Biguglia","4754.17"
"13434","2B037","Biguglia","3202.83"
"13435","2B039","Bisinchi","197"
"13436","2B042","Borgo","4147.79"
"13437","2B042","Borgo","4357.21"
"13438","2B043","Brando","1644.00"
"13439","2B045","Bustanico","61.00"
"13440","2B046","Cagnano","172.00"
"13441","2B047","Calacuccia","285"
"13442","2B049","Calenzana","2279"
"13443","2B050","Calvi","1760.03"
"13444","2B050","Calvi","3615.97"
"13445","2B051","Cambia","93.00"
"13446","2B052","Campana","17"
"13447","2B053","Campi","20"
"13448","2B054","Campile","192"
"13449","2B055","Campitello","118"
"13450","2B057","Canale-di-Verde","334"
"13451","2B058","Canari","302"
"13452","2B059","Canavaggia","98"
"13453","2B063","Carcheto-Brustico","31"
"13454","2B067","Carpineto","32.00"
"13455","2B068","Carticasi","32.00"
"13456","2B069","Casabianca","90"
"13457","2B072","Casalta","51"
"13458","2B073","Casamaccioli","103"
"13459","2B074","Casanova","369"
"13460","2B075","Casevecchie","62"
"13461","2B077","Castellare-di-Casinca","630.00"
"13462","2B078","Castellare-di-Mercurio","32"
"13463","2B079","Castello-di-Rostino","455"
"13464","2B080","Castifao","167"
"13465","2B081","Castiglione","40.00"
"13466","2B082","Castineta","44.00"
"13467","2B083","Castirla","169"
"13468","2B084","Cateri","212"
"13469","2B086","Centuri","219.00"
"13470","2B087","Cervione","1901"
"13471","2B088","Chiatra","218"
"13472","2B093","Corbara","957.00"
"13473","2B095","Corscia","133"
"13474","2B096","Corte","3084.74"
"13475","2B096","Corte","4246.26"
"13476","2B097","Costa","65"
"13477","2B101","Croce","70"
"13478","2B102","Crocicchia","72"
"13479","2B105","Erbajolo","107"
"13480","2B106","Érone","10"
"13481","2B107","Ersa","153"
"13482","2B109","Farinole","206"
"13483","2B110","Favalello","74"
"13484","2B111","Felce","50"
"13485","2B112","Feliceto","217"
"13486","2B113","Ficaja","53"
"13487","2B116","Focicchia","25"
"13488","2B120","Furiani","5736.00"
"13489","2B121","Galéria","341"
"13490","2B122","Gavignano","56"
"13491","2B123","Ghisonaccia","4128"
"13492","2B124","Ghisoni","214"
"13493","2B125","Giocatojo","46"
"13494","2B126","Giuncaggio","50"
"13495","2B134","L'Île-Rousse","3159"
"13496","2B135","Isolaccio-di-Fiumorbo","331"
"13497","2B136","Lama","162.00"
"13498","2B137","Lano","26"
"13499","2B138","Lavatoggio","149"
"13500","2B140","Lento","109"
"13501","2B143","Linguizzetta","1147"
"13502","2B145","Loreto-di-Casinca","215"
"13503","2B147","Lozzi","124"
"13504","2B148","Lucciana","5371"
"13505","2B149","Lugo-di-Nazza","78"
"13506","2B150","Lumio","1133"
"13507","2B152","Luri","835"
"13508","2B153","Manso","113"
"13509","2B155","Matra","40"
"13510","2B156","Mausoléo","17"
"13511","2B157","Mazzola","27"
"13512","2B159","Meria","107"
"13513","2B161","Moïta","79"
"13514","2B162","Moltifao","677"
"13515","2B164","Monacia-d'Orezza","29"
"13516","2B165","Moncale","316"
"13517","2B166","Monte","600"
"13518","2B167","Montegrosso","431"
"13519","2B168","Monticello","1912"
"13520","2B169","Morosaglia","1157"
"13521","2B170","Morsiglia","136"
"13522","2B171","Muracciole","36"
"13523","2B172","Murato","601"
"13524","2B173","Muro","234"
"13525","2B175","Nessa","110"
"13526","2B176","Nocario","66"
"13527","2B177","Noceta","58"
"13528","2B178","Nonza","73"
"13529","2B179","Novale","59"
"13530","2B180","Novella","86.00"
"13531","2B182","Occhiatana","204"
"13532","2B183","Ogliastro","103"
"13533","2B184","Olcani","80"
"13534","2B185","Oletta","1650.00"
"13535","2B187","Olmeta-di-Capocorso","148"
"13536","2B188","Olmeta-di-Tuda","435.00"
"13537","2B190","Olmi-Cappella","174"
"13538","2B192","Olmo","171"
"13539","2B193","Omessa","561"
"13540","2B194","Ortale","25"
"13541","2B195","Ortiporio","132"
"13542","2B199","Palasca","163"
"13543","2B201","Pancheraccia","177.00"
"13544","2B202","Parata","26"
"13545","2B205","Patrimonio","736.00"
"13546","2B206","Penta-Acquatella","31"
"13547","2B207","Penta-di-Casinca","3415"
"13548","2B208","Perelli","111"
"13549","2B210","Pero-Casevecchie","123"
"13550","2B213","Pianello","64"
"13551","2B214","Piano","27"
"13552","2B216","Piazzali","17"
"13553","2B217","Piazzole","44.00"
"13554","2B218","Piedicorte-di-Gaggio","101"
"13555","2B219","Piedicroce","110"
"13556","2B220","Piedigriggio","147"
"13557","2B221","Piedipartino","20"
"13558","2B222","Pie-d'Orezza","35"
"13559","2B223","Pietralba","467"
"13560","2B224","Pietracorbara","647.00"
"13561","2B225","Pietra-di-Verde","107"
"13562","2B226","Pietraserena","76"
"13563","2B227","Pietricaggio","35"
"13564","2B229","Pietroso","256.00"
"13565","2B230","Piève","111"
"13566","2B231","Pigna","103"
"13567","2B233","Pino","151"
"13568","2B234","Piobetta","21"
"13569","2B235","Pioggiola","86"
"13570","2B236","Poggio-di-Nazza","183"
"13571","2B238","Poggio-di-Venaco","216"
"13572","2B239","Poggio-d'Oletta","214"
"13573","2B241","Poggio-Marinaccio","29"
"13574","2B242","Poggio-Mezzana","645"
"13575","2B243","Polveroso","39"
"13576","2B244","Popolasca","50"
"13577","2B245","Porri","49.00"
"13578","2B246","La Porta","199.00"
"13579","2B248","Prato-di-Giovellina","43"
"13580","2B250","Prunelli-di-Casacconi","149"
"13581","2B251","Prunelli-di-Fiumorbo","3578"
"13582","2B252","Pruno","173"
"13583","2B255","Quercitello","45"
"13584","2B256","Rapaggio","24"
"13585","2B257","Rapale","150"
"13586","2B260","Riventosa","153"
"13587","2B261","Rogliano","573.00"
"13588","2B263","Rospigliani","76"
"13589","2B264","Rusio","84.00"
"13590","2B265","Rutali","382"
"13591","2B267","Saliceto","59"
"13592","2B273","Scata","48.00"
"13593","2B274","Scolca","104"
"13594","2B275","Sermano","59"
"13595","2B277","Serra-di-Fiumorbo","326"
"13596","2B280","Silvareccio","126"
"13597","2B281","Sisco","1121"
"13598","2B283","Solaro","706"
"13599","2B286","Sorbo-Ocagnano","813"
"13600","2B287","Sorio","138"
"13601","2B289","Soveria","118"
"13602","2B290","Speloncato","281.00"
"13603","2B291","Stazzona","40.00"
"13604","2B292","Sant'Andréa-di-Bozio","74.00"
"13605","2B293","Sant'Andréa-di-Cotone","258.00"
"13606","2B296","Sant'Antonino","120"
"13607","2B297","San-Damiano","57.00"
"13608","2B298","Saint-Florent","1604"
"13609","2B299","San-Gavino-d'Ampugnani","104"
"13610","2B301","San-Gavino-di-Tenda","68.00"
"13611","2B302","San-Giovanni-di-Moriani","93"
"13612","2B303","San-Giuliano","678.00"
"13613","2B304","San-Lorenzo","141"
"13614","2B305","San-Martino-di-Lota","2911"
"13615","2B306","Santa-Lucia-di-Mercurio","92"
"13616","2B307","Santa-Lucia-di-Moriani","1368"
"13617","2B309","Santa-Maria-di-Lota","1717"
"13618","2B311","Santa-Maria-Poggio","696.00"
"13619","2B313","San-Nicolao","1901"
"13620","2B314","Santo-Pietro-di-Tenda","356"
"13621","2B315","Santo-Pietro-di-Venaco","280.00"
"13622","2B316","Santa-Reparata-di-Balagna","1011"
"13623","2B317","Santa-Reparata-di-Moriani","51"
"13624","2B318","Taglio-Isolaccio","570"
"13625","2B319","Talasani","758"
"13626","2B320","Tallone","321"
"13627","2B321","Tarrano","15"
"13628","2B327","Tomino","213"
"13629","2B328","Tox","98"
"13630","2B329","Tralonca","108"
"13631","2B332","Urtaca","223"
"13632","2B333","Vallecalle","133"
"13633","2B334","Valle-d'Alesani","121"
"13634","2B335","Valle-di-Campoloro","341"
"13635","2B337","Valle-di-Rostino","125"
"13636","2B338","Valle-d'Orezza","49.00"
"13637","2B339","Vallica","25"
"13638","2B340","Velone-Orneto","114"
"13639","2B341","Venaco","729.00"
"13640","2B342","Ventiseri","2478"
"13641","2B343","Venzolasca","1772"
"13642","2B344","Verdèse","35"
"13643","2B346","Vescovato","2727"
"13644","2B347","Vezzani","296"
"13645","2B350","Vignale","168"
"13646","2B352","Ville-di-Paraso","211"
"13647","2B353","Ville-di-Pietrabugno","3379.00"
"13648","2B354","Vivario","445"
"13649","2B355","Volpajola","455.00"
"13650","2B356","Zalana","141"
"13651","2B361","Zilia","291"
"13652","2B364","Zuani","28"
"13653","2B365","San-Gavino-di-Fiumorbo","150.00"
"13654","2B366","Chisa","99.00"
"13655","30001","Aigaliers","490.00"
"13656","30002","Aigremont","755"
"13657","30003","Aigues-Mortes","2684"
"13658","30003","Aigues-Mortes","5701"
"13659","30004","Aigues-Vives","3211"
"13660","30005","Aiguèze","213"
"13661","30006","Aimargues","5413.00"
"13662","30007","Alès","2682.06"
"13663","30007","Alès","3480.04"
"13664","30007","Alès","2589.43"
"13665","30007","Alès","2040.44"
"13666","30007","Alès","2092.79"
"13667","30007","Alès","3172.61"
"13668","30007","Alès","2482.07"
"13669","30007","Alès","3800.95"
"13670","30007","Alès","1942.19"
"13671","30007","Alès","1876.70"
"13672","30007","Alès","2116.75"
"13673","30007","Alès","1445.58"
"13674","30007","Alès","2885.76"
"13675","30007","Alès","3523.89"
"13676","30007","Alès","3403.74"
"13677","30008","Allègre-les-Fumades","864.00"
"13678","30009","Alzon","186"
"13679","30010","Anduze","3461"
"13680","30011","Les Angles","3091.07"
"13681","30011","Les Angles","3050.03"
"13682","30011","Les Angles","2283.89"
"13683","30012","Aramon","4152"
"13684","30013","Argilliers","487.00"
"13685","30014","Arpaillargues-et-Aureillac","1021"
"13686","30015","Arphy","174"
"13687","30016","Arre","291.00"
"13688","30017","Arrigas","214.00"
"13689","30018","Aspères","523"
"13690","30019","Aubais","2602.00"
"13691","30020","Aubord","2392"
"13692","30021","Aubussargues","337"
"13693","30022","Aujac","181"
"13694","30023","Aujargues","872.00"
"13695","30024","Aulas","480"
"13696","30025","Aumessas","232.00"
"13697","30026","Avèze","1079"
"13698","30027","Bagard","2599"
"13699","30028","Bagnols-sur-Cèze","2179.07"
"13700","30028","Bagnols-sur-Cèze","2996.29"
"13701","30028","Bagnols-sur-Cèze","2043.91"
"13702","30028","Bagnols-sur-Cèze","1639.85"
"13703","30028","Bagnols-sur-Cèze","2793.00"
"13704","30028","Bagnols-sur-Cèze","2656.17"
"13705","30028","Bagnols-sur-Cèze","2785.51"
"13706","30028","Bagnols-sur-Cèze","1109.22"
"13707","30029","Barjac","1576"
"13708","30030","Baron","357"
"13709","30031","La Bastide-d'Engras","202.00"
"13710","30032","Beaucaire","2653.95"
"13711","30032","Beaucaire","4300.53"
"13712","30032","Beaucaire","2472.53"
"13713","30032","Beaucaire","2566.02"
"13714","30032","Beaucaire","4100.97"
"13715","30033","Beauvoisin","4669"
"13716","30034","Bellegarde","2245.88"
"13717","30034","Bellegarde","4601.12"
"13718","30035","Belvézet","249.00"
"13719","30036","Bernis","3298"
"13720","30037","Bessèges","2901.00"
"13721","30038","Bez-et-Esparon","347"
"13722","30039","Bezouce","2265"
"13723","30040","Blandas","145"
"13724","30041","Blauzac","1186"
"13725","30042","Boisset-et-Gaujac","2523.00"
"13726","30043","Boissières","541"
"13727","30044","Bonnevaux","96.00"
"13728","30045","Bordezac","392.00"
"13729","30046","Boucoiran-et-Nozières","896.00"
"13730","30047","Bouillargues","3536"
"13731","30047","Bouillargues","2780"
"13732","30048","Bouquet","173"
"13733","30049","Bourdic","386"
"13734","30050","Bragassargues","173"
"13735","30051","Branoux-les-Taillades","1368"
"13736","30052","Bréau-et-Salagosse","417"
"13737","30053","Brignon","785.00"
"13738","30054","Brouzet-lès-Quissac","274.00"
"13739","30055","Brouzet-lès-Alès","644"
"13740","30056","La Bruguière","333.00"
"13741","30057","Cabrières","1600"
"13742","30058","La Cadière-et-Cambo","208"
"13743","30059","Le Cailar","2401"
"13744","30060","Caissargues","3966.00"
"13745","30061","La Calmette","2099"
"13746","30062","Calvisson","5455"
"13747","30064","Campestre-et-Luc","107"
"13748","30065","Canaules-et-Argentières","402"
"13749","30066","Cannes-et-Clairan","552.00"
"13750","30067","La Capelle-et-Masmolène","450.00"
"13751","30068","Cardet","859.00"
"13752","30069","Carnas","466.00"
"13753","30070","Carsan","646.00"
"13754","30071","Cassagnoles","411"
"13755","30072","Castelnau-Valence","440.00"
"13756","30073","Castillon-du-Gard","1643"
"13757","30074","Causse-Bégon","18"
"13758","30075","Caveirac","3942"
"13759","30076","Cavillargues","812.00"
"13760","30077","Cendras","1856"
"13761","30079","Chambon","278.00"
"13762","30080","Chamborigaud","829"
"13763","30081","Chusclan","994"
"13764","30082","Clarensac","4243"
"13765","30083","Codognan","2422"
"13766","30084","Codolet","680"
"13767","30085","Collias","1122"
"13768","30086","Collorgues","579.00"
"13769","30087","Colognac","198"
"13770","30088","Combas","620"
"13771","30089","Comps","1756"
"13772","30090","Concoules","259.00"
"13773","30091","Congénies","1637"
"13774","30092","Connaux","1668"
"13775","30093","Conqueyrac","105"
"13776","30094","Corbès","167"
"13777","30095","Corconne","540"
"13778","30096","Cornillon","925.00"
"13779","30097","Courry","288"
"13780","30098","Crespian","386"
"13781","30099","Cros","257.00"
"13782","30100","Cruviers-Lascours","700.00"
"13783","30101","Deaux","667.00"
"13784","30102","Dions","607.00"
"13785","30103","Domazan","915"
"13786","30104","Domessargues","678"
"13787","30105","Dourbies","155"
"13788","30106","Durfort-et-Saint-Martin-de-Sossenac","689"
"13789","30107","Estézargues","534"
"13790","30108","L'Estréchure","163"
"13791","30109","Euzet","418.00"
"13792","30110","Flaux","358"
"13793","30111","Foissac","412"
"13794","30112","Fons","1400"
"13795","30113","Fons-sur-Lussan","239"
"13796","30114","Fontanès","682"
"13797","30115","Fontarèches","258"
"13798","30116","Fournès","1068"
"13799","30117","Fourques","2880"
"13800","30119","Fressac","192.00"
"13801","30120","Gagnières","1195"
"13802","30121","Gailhan","241.00"
"13803","30122","Gajan","679"
"13804","30123","Gallargues-le-Montueux","3669"
"13805","30124","Le Garn","233.00"
"13806","30125","Garons","4786"
"13807","30126","Garrigues-Sainte-Eulalie","746.00"
"13808","30127","Gaujac","1110"
"13809","30128","Générac","4048"
"13810","30129","Générargues","709.00"
"13811","30130","Génolhac","849.00"
"13812","30131","Goudargues","1105"
"13813","30132","La Grand-Combe","2212.36"
"13814","30132","La Grand-Combe","1612.01"
"13815","30132","La Grand-Combe","1305.64"
"13816","30133","Le Grau-du-Roi","4001.18"
"13817","30133","Le Grau-du-Roi","4432.82"
"13818","30134","Issirac","289"
"13819","30135","Jonquières-Saint-Vincent","3687"
"13820","30136","Junas","1070"
"13821","30137","Lamelouze","139"
"13822","30138","Langlade","2161.00"
"13823","30139","Lanuéjols","360.00"
"13824","30140","Lasalle","1153"
"13825","30141","Laudun-l'Ardoise","5021.94"
"13826","30141","Laudun-l'Ardoise","1095.06"
"13827","30142","Laval-Pradel","1160"
"13828","30143","Laval-Saint-Roman","222"
"13829","30144","Lecques","470"
"13830","30145","Lédenon","1514"
"13831","30146","Lédignan","1430"
"13832","30147","Lézan","1570"
"13833","30148","Liouc","251"
"13834","30149","Lirac","884.00"
"13835","30150","Logrian-Florian","267"
"13836","30151","Lussan","497.00"
"13837","30152","Les Mages","2065.00"
"13838","30153","Malons-et-Elze","121"
"13839","30154","Mandagout","399"
"13840","30155","Manduel","3147.46"
"13841","30155","Manduel","3554.54"
"13842","30156","Marguerittes","2429.94"
"13843","30156","Marguerittes","2902.55"
"13844","30156","Marguerittes","2481.90"
"13845","30156","Marguerittes","769.61"
"13846","30157","Mars","182"
"13847","30158","Martignargues","419.00"
"13848","30159","Le Martinet","806.00"
"13849","30160","Maruéjols-lès-Gardon","237"
"13850","30161","Massanes","195"
"13851","30162","Massillargues-Attuech","657.00"
"13852","30163","Mauressargues","151"
"13853","30164","Méjannes-le-Clap","701"
"13854","30165","Méjannes-lès-Alès","1222"
"13855","30166","Meynes","2459"
"13856","30167","Meyrannes","840"
"13857","30168","Mialet","612"
"13858","30169","Milhaud","3186.30"
"13859","30169","Milhaud","2510.70"
"13860","30170","Molières-Cavaillac","937.00"
"13861","30171","Molières-sur-Cèze","1437"
"13862","30172","Monoblet","688.00"
"13863","30173","Mons","1637"
"13864","30174","Montaren-et-Saint-Médiers","1454"
"13865","30175","Montclus","204"
"13866","30176","Montdardier","206.00"
"13867","30177","Monteils","651"
"13868","30178","Montfaucon","1455"
"13869","30179","Montfrin","3211"
"13870","30180","Montignargues","612.00"
"13871","30181","Montmirat","416"
"13872","30182","Montpezat","1083"
"13873","30183","Moulézan","635.00"
"13874","30184","Moussac","1434"
"13875","30185","Mus","1393"
"13876","30186","Nages-et-Solorgues","1571"
"13877","30187","Navacelles","328"
"13878","30188","Ners","727.00"
"13879","30189","Nîmes","2223.18"
"13880","30189","Nîmes","2897.02"
"13881","30189","Nîmes","1757.81"
"13882","30189","Nîmes","2235.12"
"13883","30189","Nîmes","2630.69"
"13884","30189","Nîmes","575.14"
"13885","30189","Nîmes","3947.04"
"13886","30189","Nîmes","3092.69"
"13887","30189","Nîmes","3187.28"
"13888","30189","Nîmes","1312.16"
"13889","30189","Nîmes","2559.74"
"13890","30189","Nîmes","4204.95"
"13891","30189","Nîmes","4354.91"
"13892","30189","Nîmes","3776.72"
"13893","30189","Nîmes","2539.30"
"13894","30189","Nîmes","2518.66"
"13895","30189","Nîmes","3567.66"
"13896","30189","Nîmes","3825.66"
"13897","30189","Nîmes","1778.19"
"13898","30189","Nîmes","3451.72"
"13899","30189","Nîmes","1864.47"
"13900","30189","Nîmes","3594.07"
"13901","30189","Nîmes","2277.50"
"13902","30189","Nîmes","2061.84"
"13903","30189","Nîmes","62.86"
"13904","30189","Nîmes","84.78"
"13905","30189","Nîmes","206.77"
"13906","30189","Nîmes","1437.13"
"13907","30189","Nîmes","2675.33"
"13908","30189","Nîmes","2041.89"
"13909","30189","Nîmes","2740.65"
"13910","30189","Nîmes","2292.91"
"13911","30189","Nîmes","2521.43"
"13912","30189","Nîmes","1787.43"
"13913","30189","Nîmes","3816.02"
"13914","30189","Nîmes","1749.91"
"13915","30189","Nîmes","1419.11"
"13916","30189","Nîmes","1632.99"
"13917","30189","Nîmes","3695.27"
"13918","30189","Nîmes","180.02"
"13919","30189","Nîmes","712.07"
"13920","30189","Nîmes","3564.06"
"13921","30189","Nîmes","1704.44"
"13922","30189","Nîmes","2763.27"
"13923","30189","Nîmes","1971.43"
"13924","30189","Nîmes","2812.31"
"13925","30189","Nîmes","2752.42"
"13926","30189","Nîmes","2631.11"
"13927","30189","Nîmes","2232.63"
"13928","30189","Nîmes","2180.31"
"13929","30189","Nîmes","2104.18"
"13930","30189","Nîmes","3016.56"
"13931","30189","Nîmes","2384.58"
"13932","30189","Nîmes","2860.45"
"13933","30189","Nîmes","2110.06"
"13934","30189","Nîmes","1827.06"
"13935","30189","Nîmes","2968.71"
"13936","30189","Nîmes","2081.72"
"13937","30189","Nîmes","2482.17"
"13938","30189","Nîmes","2547.84"
"13939","30189","Nîmes","2338.35"
"13940","30189","Nîmes","1624.33"
"13941","30189","Nîmes","4423.91"
"13942","30190","Notre-Dame-de-la-Rouvière","417"
"13943","30191","Orsan","1104"
"13944","30192","Orthoux-Sérignac-Quilhan","404"
"13945","30193","Parignargues","593"
"13946","30194","Peyremale","287.00"
"13947","30195","Peyrolles","36"
"13948","30196","Le Pin","416"
"13949","30197","Les Plans","254"
"13950","30198","Les Plantiers","245"
"13951","30199","Pommiers","59"
"13952","30200","Pompignan","922"
"13953","30201","Ponteils-et-Brésis","353"
"13954","30202","Pont-Saint-Esprit","2302.51"
"13955","30202","Pont-Saint-Esprit","3826.08"
"13956","30202","Pont-Saint-Esprit","2632.63"
"13957","30202","Pont-Saint-Esprit","1517.77"
"13958","30203","Portes","359"
"13959","30204","Potelières","369"
"13960","30205","Pougnadoresse","247.00"
"13961","30206","Poulx","3878"
"13962","30207","Pouzilhac","685"
"13963","30208","Puechredon","33"
"13964","30209","Pujaut","4167"
"13965","30210","Quissac","3130.00"
"13966","30211","Redessan","4108"
"13967","30212","Remoulins","2325"
"13968","30213","Revens","23.00"
"13969","30214","Ribaute-les-Tavernes","2098"
"13970","30215","Rivières","336"
"13971","30216","Robiac-Rochessadoule","874.00"
"13972","30217","Rochefort-du-Gard","3601.36"
"13973","30217","Rochefort-du-Gard","3903.64"
"13974","30218","Rochegude","240"
"13975","30219","Rogues","103"
"13976","30220","Roquedur","254"
"13977","30221","Roquemaure","2522.21"
"13978","30221","Roquemaure","2941.79"
"13979","30222","La Roque-sur-Cèze","182"
"13980","30223","Rousson","4034"
"13981","30224","La Rouvière","594"
"13982","30225","Sabran","1700"
"13983","30226","Saint-Alexandre","1186"
"13984","30227","Saint-Ambroix","3197"
"13985","30228","Sainte-Anastasie","1667"
"13986","30229","Saint-André-de-Majencoules","604"
"13987","30230","Saint-André-de-Roquepertuis","611.00"
"13988","30231","Saint-André-de-Valborgne","411"
"13989","30232","Saint-André-d'Olérargues","423"
"13990","30233","Saint-Bauzély","585"
"13991","30234","Saint-Bénézet","275.00"
"13992","30235","Saint-Bonnet-du-Gard","852.00"
"13993","30236","Saint-Bonnet-de-Salendrinque","115"
"13994","30237","Saint-Brès","643"
"13995","30238","Saint-Bresson","56"
"13996","30239","Sainte-Cécile-d'Andorge","576"
"13997","30240","Saint-Césaire-de-Gauzignan","377"
"13998","30241","Saint-Chaptes","1851"
"13999","30242","Saint-Christol-de-Rodières","168"
"14000","30243","Saint-Christol-lès-Alès","2548.11"
"14001","30243","Saint-Christol-lès-Alès","4429.89"
"14002","30244","Saint-Clément","362.00"
"14003","30245","Saint-Côme-et-Maruéjols","752"
"14004","30246","Sainte-Croix-de-Caderle","117"
"14005","30247","Saint-Denis","289"
"14006","30248","Saint-Dézéry","430"
"14007","30249","Saint-Dionisy","1004"
"14008","30250","Saint-Étienne-de-l'Olm","362"
"14009","30251","Saint-Étienne-des-Sorts","556.00"
"14010","30252","Saint-Félix-de-Pallières","247"
"14011","30253","Saint-Florent-sur-Auzonnet","1212"
"14012","30254","Saint-Geniès-de-Comolas","1907"
"14013","30255","Saint-Geniès-de-Malgoirès","2975"
"14014","30256","Saint-Gervais","700"
"14015","30257","Saint-Gervasy","1853.00"
"14016","30258","Saint-Gilles","1996.90"
"14017","30258","Saint-Gilles","1357.80"
"14018","30258","Saint-Gilles","4455.26"
"14019","30258","Saint-Gilles","3635.84"
"14020","30258","Saint-Gilles","2031.20"
"14021","30259","Saint-Hilaire-de-Brethmas","4174"
"14022","30260","Saint-Hilaire-d'Ozilhan","1044"
"14023","30261","Saint-Hippolyte-de-Caton","215.00"
"14024","30262","Saint-Hippolyte-de-Montaigu","253"
"14025","30263","Saint-Hippolyte-du-Fort","3937"
"14026","30264","Saint-Jean-de-Ceyrargues","157"
"14027","30265","Saint-Jean-de-Crieulon","251.00"
"14028","30266","Saint-Jean-de-Maruéjols-et-Avéjan","959"
"14029","30267","Saint-Jean-de-Serres","524.00"
"14030","30268","Saint-Jean-de-Valériscle","684"
"14031","30269","Saint-Jean-du-Gard","2610"
"14032","30270","Saint-Jean-du-Pin","1509.00"
"14033","30271","Saint-Julien-de-Cassagnas","670.00"
"14034","30272","Saint-Julien-de-la-Nef","134"
"14035","30273","Saint-Julien-de-Peyrolas","1362"
"14036","30274","Saint-Julien-les-Rosiers","3311.00"
"14037","30275","Saint-Just-et-Vacquières","300"
"14038","30276","Saint-Laurent-d'Aigouze","3458"
"14039","30277","Saint-Laurent-de-Carnols","475"
"14040","30278","Saint-Laurent-des-Arbres","2909"
"14041","30279","Saint-Laurent-la-Vernède","709.00"
"14042","30280","Saint-Laurent-le-Minier","345"
"14043","30281","Saint-Mamert-du-Gard","1612"
"14044","30282","Saint-Marcel-de-Careiret","841.00"
"14045","30283","Saint-Martial","174"
"14046","30284","Saint-Martin-de-Valgalgues","1981.23"
"14047","30284","Saint-Martin-de-Valgalgues","2331.77"
"14048","30285","Saint-Maurice-de-Cazevieille","706"
"14049","30286","Saint-Maximin","711.00"
"14050","30287","Saint-Michel-d'Euzet","623"
"14051","30288","Saint-Nazaire","1194"
"14052","30289","Saint-Nazaire-des-Gardies","80"
"14053","30290","Saint-Paulet-de-Caisson","1793"
"14054","30291","Saint-Paul-la-Coste","287.00"
"14055","30292","Saint-Pons-la-Calm","430"
"14056","30293","Saint-Privat-de-Champclos","337"
"14057","30294","Saint-Privat-des-Vieux","2287.22"
"14058","30294","Saint-Privat-des-Vieux","2829.78"
"14059","30295","Saint-Quentin-la-Poterie","3035"
"14060","30296","Saint-Roman-de-Codières","172"
"14061","30297","Saint-Sauveur-Camprieu","254.00"
"14062","30298","Saint-Sébastien-d'Aigrefeuille","524"
"14063","30299","Saint-Siffret","1036"
"14064","30300","Saint-Théodorit","520"
"14065","30301","Saint-Victor-des-Oules","310.00"
"14066","30302","Saint-Victor-la-Coste","2036"
"14067","30303","Saint-Victor-de-Malcap","839.00"
"14068","30304","Salazac","184"
"14069","30305","Salindres","3317"
"14070","30306","Salinelles","572.00"
"14071","30307","Les Salles-du-Gardon","2618.00"
"14072","30308","Sanilhac-Sagriès","832.00"
"14073","30309","Sardan","278"
"14074","30310","Saumane","264"
"14075","30311","Sauve","1943.00"
"14076","30312","Sauveterre","1969"
